d_codigo,d_asenta-D_mnpio
14200,"Jardines del Ajusco, Tlalpan"
14200,"Héroes de Padierna, Tlalpan"
14208,"Colinas del Ajusco, Tlalpan"
14209,"Torres de Padierna, Tlalpan"
14210,"Jardines en la Montaña, Tlalpan"
14219,"Six Flags (Reino Aventura), Tlalpan"
14219,"Parque Nacional Bosque del Pedregal, Tlalpan"
14220,"Cuchilla de Padierna, Tlalpan"
14220,"Lomas del Pedregal, Tlalpan"
14230,"Cultura Maya, Tlalpan"
14239,"Los Encinos, Tlalpan"
14240,"Lomas de Padierna, Tlalpan"
14240,"Lomas Hidalgo, Tlalpan"
14248,"Cruz del Farol, Tlalpan"
14250,"Miguel Hidalgo 2A Sección, Tlalpan"
14250,"Miguel Hidalgo 4A Sección, Tlalpan"
14250,"Miguel Hidalgo, Tlalpan"
14250,"Miguel Hidalgo 3A Sección, Tlalpan"
14260,"Barrio El Capulín, Tlalpan"
14260,"Miguel Hidalgo 1A Sección, Tlalpan"
14266,"Zacayucan Peña Pobre, Tlalpan"
14267,"Barrio de Caramagüey, Tlalpan"
14268,"Barrio La Lonja, Tlalpan"
14269,"Barrio La Fama, Tlalpan"
14270,"Primavera, Tlalpan"
14273,"Solidaridad, Tlalpan"
14275,"Paraje 38, Tlalpan"
14276,"Verano, Tlalpan"
14300,"Residencial Miramontes, Tlalpan"
14300,"Residencial Acoxpa, Tlalpan"
14300,"Nueva Oriental Coapa, Tlalpan"
14307,"Villa del Sur, Tlalpan"
14308,"Real del Sur, Tlalpan"
14308,"Ex Hacienda Coapa, Tlalpan"
14309,"3 Fuentes, Tlalpan"
14310,"Belisario Domínguez, Tlalpan"
14310,"Floresta Coyoacán, Tlalpan"
14310,"Vergel Tlalpan, Tlalpan"
14320,"Vergel Coapa, Tlalpan"
14325,"Rinconada Coapa 2A Sección, Tlalpan"
14326,"Tenorios, Tlalpan"
14327,"Tenorios 2, Tlalpan"
14328,"Lotería Nacional, Tlalpan"
14328,"Villa Valbadena, Tlalpan"
14329,"Tenorios FOVISSSTE, Tlalpan"
14330,"Residencial Hacienda Coapa, Tlalpan"
14330,"Granjas Coapa, Tlalpan"
14330,"Rinconada Coapa 1A Sección, Tlalpan"
14334,"Sauzales Cebadales, Tlalpan"
14335,"Villa del Puente, Tlalpan"
14336,"Villa Cuemanco INFONAVIT, Tlalpan"
14337,"Urbano Coapa, Tlalpan"
14338,"Fuerza Armada de México, Tlalpan"
14338,"FOVISSSTE Periférico, Tlalpan"
14340,"Vergel del Sur, Tlalpan"
14340,"Vergel de Coyoacán, Tlalpan"
14350,"Prado Coapa 1A Sección, Tlalpan"
14356,"Jardines Villa Coapa, Tlalpan"
14357,"Prado Coapa 2A Sección, Tlalpan"
14357,"Prado Coapa 3A Sección, Tlalpan"
14358,"Residencial Villa Prado Coapa, Tlalpan"
14360,"Villa Cuemanco, Tlalpan"
14360,"Magisterial Coapa, Tlalpan"
14360,"Magisterial, Tlalpan"
14370,"Villa Lázaro Cárdenas, Tlalpan"
14370,"San Lorenzo Huipulco, Tlalpan"
14370,"Residencial Chimali, Tlalpan"
14370,"Hacienda de San Juan de Tlalpan 2a Sección, Tlalpan"
14376,"Arboledas del Sur, Tlalpan"
14377,"Hacienda San Juan, Tlalpan"
14378,"Rincón de San Juan, Tlalpan"
14380,"A.M.S.A, Tlalpan"
14380,"San Bartolo El Chico, Tlalpan"
14386,"Rancho los Colorines, Tlalpan"
14387,"Ex Hacienda San Juan de Dios, Tlalpan"
14388,"Guadalupe, Tlalpan"
14389,"Arenal de Guadalupe, Tlalpan"
14390,"Residencial Villa Coapa, Tlalpan"
14390,"Villa Coapa, Tlalpan"
14390,"Rinconada Las Hadas, Tlalpan"
14390,"Narciso Mendoza, Tlalpan"
14399,"Villa Royale, Tlalpan"
14400,"San Andrés Totoltepec, Tlalpan"
14406,"Divisadero, Tlalpan"
14408,"Nuevo Renacimiento de Axalco, Tlalpan"
14409,"Tecorral, Tlalpan"
14410,"Fuentes Brotantes, Tlalpan"
14420,"Santa Úrsula Xitla, Tlalpan"
14420,"Mesa de los Hornos, Tlalpan"
14420,"Cumbres de Tepetongo, Tlalpan"
14426,"Tlaxcaltenco la Mesa, Tlalpan"
14426,"Texcaltenco, Tlalpan"
14427,"San Juan Tepeximilpa, Tlalpan"
14427,"Tepeximilpa la Paz, Tlalpan"
14428,"Cantera, Tlalpan"
14429,"Santísima Trinidad, Tlalpan"
14430,"Barrio El Truenito, Tlalpan"
14430,"Tlalcoligia, Tlalpan"
14438,"Pedregal de Santa Úrsula Xitla, Tlalpan"
14439,"Pedregal de las Águilas, Tlalpan"
14440,"Los Volcanes, Tlalpan"
14449,"El Mirador 1A Sección, Tlalpan"
14449,"El Mirador 2A Sección, Tlalpan"
14449,"El Mirador 3A Sección, Tlalpan"
14456,"Atocpa, Tlalpan"
14460,"Tlalpuente, Tlalpan"
14470,"Tepetitla, Tlalpan"
14470,"Plan de Ayala, Tlalpan"
14476,"La Palma, Tlalpan"
14479,"Viveros Coatectlán, Tlalpan"
14480,"La Magdalena Petlacalco, Tlalpan"
14490,"San Miguel Xicalco, Tlalpan"
14500,"San Miguel Topilejo, Tlalpan"
14520,"La Quinta, Tlalpan"
14529,"Estación Ajusco, Tlalpan"
14550,"Estrella Mora, Tlalpan"
14600,"Valle Escondido, Tlalpan"
14608,"Colinas del Bosque, Tlalpan"
14609,"Las Tórtolas, Tlalpan"
14610,"Arenal Tepepan, Tlalpan"
14620,"Club de Golf México, Tlalpan"
14629,"San Buenaventura, Tlalpan"
14630,"Chimalcoyoc, Tlalpan"
14630,"Villa Tlalpan, Tlalpan"
14639,"San Pedro Mártir FOVISSSTE, Tlalpan"
14640,"Ejidos de San Pedro Mártir, Tlalpan"
14643,"Fuentes de Tepepan, Tlalpan"
14646,"Valle de Tepepan, Tlalpan"
14647,"Juventud Unida, Tlalpan"
14647,"Movimiento Organizado de Tlalpan, Tlalpan"
14647,"Rinconada El Mirador, Tlalpan"
14650,"San Pedro Mártir, Tlalpan"
14653,"Heróico Colegio Militar, Tlalpan"
14654,"La Magueyera, Tlalpan"
14654,"Dolores Tlali, Tlalpan"
14655,"Valle Verde o Lomas Verdes, Tlalpan"
14657,"Tlalmille, Tlalpan"
14658,"Mirador del Valle, Tlalpan"
14659,"María Esther Zuno de Echeverría, Tlalpan"
14700,"San Miguel Ajusco, Tlalpan"
14710,"Santo Tomas Ajusco, Tlalpan"
14720,"Belvedere Ajusco, Tlalpan"
14730,"Lomas de Cuilotepec, Tlalpan"
14734,"Zacatón, Tlalpan"
14735,"San Nicolás 2, Tlalpan"
14735,"Lomas de Tepemecatl, Tlalpan"
14737,"Vistas del Pedregal, Tlalpan"
14738,"Bosques del Pedregal, Tlalpan"
14739,"2 de Octubre, Tlalpan"
14740,"Lomas de Padierna Sur, Tlalpan"
14748,"Mirador I, Tlalpan"
14748,"Mirador II, Tlalpan"
14749,"Chimilli, Tlalpan"
14750,"Rancho Viejo, Tlalpan"
14760,"Héroes de 1910, Tlalpan"
14780,"El Charco, Tlalpan"
14790,"San Jorge, Tlalpan"
14900,"Parres El Guarda, Tlalpan"
15000,"General Ignacio Zaragoza, Venustiano Carranza"
15010,"Valentín Gómez Farias, Venustiano Carranza"
15020,"Puebla, Venustiano Carranza"
15100,"Zona Centro, Venustiano Carranza"
15120,"Candelaria de los Patos FOVISSSTE, Venustiano Carranza"
15200,"Janitzio, Venustiano Carranza"
15210,"Valle Gómez, Venustiano Carranza"
15220,"Popular Rastro, Venustiano Carranza"
15220,"Nicolás Bravo, Venustiano Carranza"
15230,"Emilio Carranza, Venustiano Carranza"
15240,"Michoacana, Venustiano Carranza"
15250,"Ampliación Michoacana, Venustiano Carranza"
15260,"Ampliación 20 de Noviembre, Venustiano Carranza"
15270,"Morelos, Venustiano Carranza"
15280,"Penitenciaria, Venustiano Carranza"
15290,"10 de Mayo, Venustiano Carranza"
15299,"Emiliano Zapata, Venustiano Carranza"
15300,"20 de Noviembre, Venustiano Carranza"
15309,"5o Tramo 20 de Noviembre, Venustiano Carranza"
15310,"Felipe Ángeles, Venustiano Carranza"
15320,"Azteca, Venustiano Carranza"
15330,"Tres Mosqueteros, Venustiano Carranza"
15339,"Ampliación Venustiano Carranza, Venustiano Carranza"
15340,"Venustiano Carranza, Venustiano Carranza"
15350,"Ampliación Penitenciaria, Venustiano Carranza"
15370,"Progresista, Venustiano Carranza"
15380,"Escuela de Tiro, Venustiano Carranza"
15390,"7 de Julio, Venustiano Carranza"
15400,"Romero Rubio, Venustiano Carranza"
15410,"Simón Bolívar, Venustiano Carranza"
15420,"Ampliación Simón Bolívar, Venustiano Carranza"
15430,"Aquiles Serdán, Venustiano Carranza"
15440,"1° de Mayo, Venustiano Carranza"
15450,"Damián Carmona, Venustiano Carranza"
15460,"Revolución, Venustiano Carranza"
15470,"Miguel Hidalgo, Venustiano Carranza"
15500,"Moctezuma 1a Sección, Venustiano Carranza"
15510,"Pensador Mexicano, Venustiano Carranza"
15520,"Peñón de los Baños, Venustiano Carranza"
15530,"Moctezuma 2a Sección, Venustiano Carranza"
15540,"Santa Cruz Aviación, Venustiano Carranza"
15600,"Arenal 1a Sección, Venustiano Carranza"
15610,"Cuchilla Pantitlán, Venustiano Carranza"
15620,"México (Lic. Benito Juárez), Venustiano Carranza"
15630,"Caracol, Venustiano Carranza"
15640,"Arenal Puerto Aéreo, Venustiano Carranza"
15640,"Arenal 4a Sección, Venustiano Carranza"
15650,"Ampliación Caracol, Venustiano Carranza"
15660,"Arenal 3a Sección, Venustiano Carranza"
15670,"Adolfo López Mateos, Venustiano Carranza"
15680,"Arenal 2a Sección, Venustiano Carranza"
15700,"Federal, Venustiano Carranza"
15710,"Industrial Puerto Aéreo, Venustiano Carranza"
15720,"Zaragoza Bahía, Venustiano Carranza"
15730,"4 Árboles, Venustiano Carranza"
15740,"Aviación Civil, Venustiano Carranza"
15750,"Ampliación Aviación Civil, Venustiano Carranza"
15800,"Jamaica, Venustiano Carranza"
15810,"Merced Balbuena, Venustiano Carranza"
15820,"Lorenzo Boturini, Venustiano Carranza"
15830,"Artes Gráficas, Venustiano Carranza"
15840,"Sevilla, Venustiano Carranza"
15850,"Magdalena Mixiuhca, Venustiano Carranza"
15860,"Pueblo de La Magdalena Mixiuhca, Venustiano Carranza"
15870,"Aarón Sáenz, Venustiano Carranza"
15900,"Jardín Balbuena, Venustiano Carranza"
15950,"Unidad Kennedy, Venustiano Carranza"
15960,"Del Parque, Venustiano Carranza"
15970,"Aeronáutica Militar, Venustiano Carranza"
15980,"24 de Abril, Venustiano Carranza"
15990,"Álvaro Obregón, Venustiano Carranza"
16000,"Barrio La Concepción Tlacoapa, Xochimilco"
16000,"Barrio San Antonio, Xochimilco"
16000,"Barrio San Juan, Xochimilco"
16010,"Bosque Residencial del Sur, Xochimilco"
16010,"San Bartolo El Chico, Xochimilco"
16010,"Arcos del Sur, Xochimilco"
16010,"Las Peritas, Xochimilco"
16010,"Paseos del Sur, Xochimilco"
16010,"Aldama, Xochimilco"
16020,"Santa María Tepepan, Xochimilco"
16020,"San Juan Tepepan, Xochimilco"
16029,"Ampliación Tepepan, Xochimilco"
16030,"La Noria, Xochimilco"
16030,"Huichapan, Xochimilco"
16030,"Ampliación La Noria, Xochimilco"
16030,"Potrero de San Bernardino, Xochimilco"
16034,"Barrio 18, Xochimilco"
16035,"San Lorenzo La Cebada, Xochimilco"
16035,"Rinconada Coapa, Xochimilco"
16036,"Mercado de Flores Plantas y Hortalizas, Xochimilco"
16038,"Ampliación San Marcos Norte, Xochimilco"
16040,"Barrio San Lorenzo, Xochimilco"
16040,"Barrio La Asunción, Xochimilco"
16050,"Jardines del Sur, Xochimilco"
16050,"Tierra Nueva, Xochimilco"
16050,"Barrio San Marcos, Xochimilco"
16057,"Redención, Xochimilco"
16058,"Villa Xochimilco, Xochimilco"
16059,"Pblo. Stgo.Tepalcatlalpan, U. H. Rinconada del Sur, Xochimilco"
16059,"Las Gárgolas, Xochimilco"
16060,"El Mirador, Xochimilco"
16070,"Barrio El Rosario, Xochimilco"
16070,"Barrio La Guadalupita, Xochimilco"
16070,"Barrio Santa Crucita, Xochimilco"
16070,"Barrio Belén, Xochimilco"
16080,"Barrio San Cristóbal, Xochimilco"
16080,"Barrio San Diego, Xochimilco"
16080,"Barrio La Santísima, Xochimilco"
16080,"Barrio San Esteban, Xochimilco"
16090,"Tablas de San Lorenzo, Xochimilco"
16090,"Caltongo, Xochimilco"
16090,"Barrio Xaltocan, Xochimilco"
16090,"Barrio San Pedro, Xochimilco"
16100,"Santa Cruz Xochitepec, Xochimilco"
16200,"Santiago Tepalcatlalpan, Xochimilco"
16210,"La Concha, Xochimilco"
16220,"San José Zacatepec, Xochimilco"
16240,"Tlaxopan 1a Sección, Xochimilco"
16240,"Tlaxopan  2a Sección, Xochimilco"
16244,"Tlaxopan Norte, Xochimilco"
16247,"Paraje Tlalatlaco, Xochimilco"
16248,"Ocotitla, Xochimilco"
16300,"San Lucas Xochimanca, Xochimilco"
16310,"La Cañada, Xochimilco"
16320,"San Lucas Oriente, Xochimilco"
16340,"Texmic, Xochimilco"
16400,"San Lorenzo Atemoaya, Xochimilco"
16410,"Lomas de Tonalco, Xochimilco"
16420,"San Jerónimo, Xochimilco"
16428,"El Jazmín, Xochimilco"
16429,"Rancho Tejomulco, Xochimilco"
16430,"Xochipilli, Xochimilco"
16440,"Año de Juárez, Xochimilco"
16443,"Barrio Pocitos, Xochimilco"
16450,"Santa María Nativitas, Xochimilco"
16457,"Lomas de Nativitas, Xochimilco"
16459,"Ampliación Nativitas, Xochimilco"
16500,"Santa Cruz Acalpixca, Xochimilco"
16510,"Tecacalanco, Xochimilco"
16513,"Barrio del Puente, Xochimilco"
16513,"Barrio Apatlaco, Xochimilco"
16514,"Barrio La Gallera, Xochimilco"
16514,"Barrio Calpulco, Xochimilco"
16514,"Barrio Tetitla, Xochimilco"
16514,"Tetitla la Gallera, Xochimilco"
16515,"San José Obrero, Xochimilco"
16520,"Barrio La Planta, Xochimilco"
16520,"Tiziclipa, Xochimilco"
16530,"Barrio Las Flores, Xochimilco"
16530,"Barrio Las Cruces, Xochimilco"
16533,"Barrio Ahualapa, Xochimilco"
16550,"Valle de Santa María, Xochimilco"
16550,"Tototitla, Xochimilco"
16600,"San Gregorio Atlapulco, Xochimilco"
16604,"Barrio San Andrés, Xochimilco"
16605,"Barrio Los Reyes, Xochimilco"
16606,"Barrio 3 de Mayo, Xochimilco"
16607,"Barrio San Antonio, Xochimilco"
16609,"Barrio La Candelaria, Xochimilco"
16610,"San Luis Tlaxialtemalco, Xochimilco"
16614,"Barrio Niños Héroes, Xochimilco"
16615,"Barrio La Asunción, Xochimilco"
16616,"Barrio Santa Cecilia, Xochimilco"
16617,"Barrio San Sebastián, Xochimilco"
16620,"Barrio San José, Xochimilco"
16629,"Barrio La Guadalupana, Xochimilco"
16629,"Barrio San Juan, Xochimilco"
16630,"Barrio San Juan Moyotepec, Xochimilco"
16640,"Barrio San Juan Minas, Xochimilco"
16710,"Quirino Mendoza, Xochimilco"
16720,"Del Carmen, Xochimilco"
16739,"San Isidro, Xochimilco"
16740,"Guadalupita, Xochimilco"
16749,"Las Animas, Xochimilco"
16750,"Barrio Calyequita, Xochimilco"
16770,"San Felipe, Xochimilco"
16776,"Tecoloxtitla, Xochimilco"
16776,"Santiaguito, Xochimilco"
16776,"El Mirador, Xochimilco"
16780,"Cristo Rey, Xochimilco"
16780,"Cerrillos Segunda Sección, Xochimilco"
16780,"San Francisco Chiquimola, Xochimilco"
16780,"Cerrillos Tercera Sección, Xochimilco"
16780,"El Sacrificio, Xochimilco"
16780,"Cerrillos Primera Sección, Xochimilco"
16797,"Nativitas, Xochimilco"
16799,"Las Mesitas, Xochimilco"
16800,"San Mateo Xalpa, Xochimilco"
16808,"El Arenal, Xochimilco"
16810,"Santa Inés, Xochimilco"
16810,"Santa Inés, Xochimilco"
16810,"San Andrés Ahuayucan, Xochimilco"
16810,"Nueva Tenochtitlán, Xochimilco"
16810,"Cerro Grande, Xochimilco"
16810,"El Mirador 2a Sección, Xochimilco"
16810,"Rosario Tlali, Xochimilco"
16813,"Barrio El Calvario, Xochimilco"
16819,"Tetlatilco, Xochimilco"
16819,"Axcallote, Xochimilco"
16840,"Santa Cruz Chavarrieta, Xochimilco"
16840,"Tlaltepetla, Xochimilco"
16850,"Atocle, Xochimilco"
16850,"Barrio Chapultepec, Xochimilco"
16860,"Santa Cruz de Guadalupe, Xochimilco"
16866,"Tecalipa, Xochimilco"
16869,"San Juan de los Lagos, Xochimilco"
16870,"El Cedral, Xochimilco"
16880,"Santa Cecilia Tepetlapa, Xochimilco"
16880,"El Capulín, Xochimilco"
16880,"La Herradura Hueytepec, Xochimilco"
16888,"Paraje Tlachiultepec, Xochimilco"
16888,"El Teoca, Xochimilco"
16888,"Rinconada del Teoca, Xochimilco"
16889,"Villa San Isidro, Xochimilco"
16900,"San Francisco Tlalnepantla, Xochimilco"
16900,"Los Capulines, Xochimilco"
16909,"Club Monte Sur, Xochimilco"
16910,"Pedregal de San Francisco, Xochimilco"
50000,"Centro, Toluca"
50009,"Palacio de Gobierno del Estado de México, Toluca"
50010,"Los Girasoles, Toluca"
50010,"San Lorenzo Tepaltitlán Centro, Toluca"
50010,"San Angelin, Toluca"
50010,"Ex-hacienda la Magdalena, Toluca"
50010,"La Loma, Toluca"
50010,"Villas Tepaltitlán, Toluca"
50010,"La Cruz Comalco, Toluca"
50010,"Los Girasoles II, Toluca"
50010,"San Juan de la Cruz, Toluca"
50010,"Club Jardín, Toluca"
50010,"El Balcón, Toluca"
50010,"La Magdalena, Toluca"
50010,"El Tejocote, Toluca"
50010,"Los Girasoles I, Toluca"
50010,"Hacienda San Agustín, Toluca"
50010,"Gran Morada, Toluca"
50010,"Los Girasoles IV, Toluca"
50010,"Universidad, Toluca"
50010,"Del Panteón, Toluca"
50010,"Celanese, Toluca"
50010,"Guadalupe, Toluca"
50010,"Los Girasoles III, Toluca"
50010,"Tlacopa, Toluca"
50010,"Galaxias de San Lorenzo, Toluca"
50016,"Parque industrial San Antonio, Toluca"
50016,"De la Crespa, Toluca"
50016,"Jardines de la Crespa, Toluca"
50017,"Las Brisas, Toluca"
50017,"Rincón de San Lorenzo, Toluca"
50018,"Las Flores, Toluca"
50018,"San Antonio, Toluca"
50018,"El Mogote, Toluca"
50019,"San Rafael, Toluca"
50019,"El Charco, Toluca"
50020,"Bosques de la Mora, Toluca"
50020,"Los Ángeles, Toluca"
50020,"Los Frailes, Toluca"
50020,"Rancho la Mora, Toluca"
50020,"3 Caminos, Toluca"
50020,"Valle de Santiago Residencial, Toluca"
50020,"Santiago Miltepec, Toluca"
50020,"Rinconada de la Mora, Toluca"
50026,"Carlos Hank González, Toluca"
50039,"La Vega, Toluca"
50040,"San Luis Obispo, Toluca"
50040,"La Teresona, Toluca"
50040,"San Miguel Apinahuizco, Toluca"
50040,"Unión, Toluca"
50040,"Sor Juana Inés de la Cruz, Toluca"
50040,"Electricistas Locales, Toluca"
50040,"Sector Popular, Toluca"
50040,"La Retama, Toluca"
50050,"Santa Bárbara, Toluca"
50050,"El Cóporo, Toluca"
50050,"Zopilocalco Norte, Toluca"
50050,"Zopilocalco Sur, Toluca"
50060,"Doctores, Toluca"
50060,"Huitzila, Toluca"
50060,"Lomas Altas, Toluca"
50060,"San Juan Buenavista, Toluca"
50060,"Niños Héroes (Penciones), Toluca"
50069,"Centro SCT México, Toluca"
50070,"Meteoro, Toluca"
50070,"Reforma y Ferrocarriles Nacionales, Toluca"
50070,"Independencia, Toluca"
50070,"Fidel Velázquez, Toluca"
50070,"Villas Fontana I, Toluca"
50070,"Villas Fontana II, Toluca"
50071,"Toluca, Toluca"
50075,"Las Torres, Toluca"
50075,"Científicos, Toluca"
50076,"Residencial las Torres, Toluca"
50080,"San Bernardino, Toluca"
50080,"La Merced  (Alameda), Toluca"
50090,"5 de Mayo, Toluca"
50090,"Santa Clara, Toluca"
50100,"Bosques de San Mateo, Toluca"
50100,"La Joya, Toluca"
50100,"Protinbos, Toluca"
50100,"Rincón del Parque, Toluca"
50100,"Parques Nacionales, Toluca"
50100,"La Ribera IV, Toluca"
50100,"Niños Héroes, Toluca"
50100,"Nueva Oxtotitlán, Toluca"
50100,"Lomas de San Mateo, Toluca"
50100,"14 de Diciembre, Toluca"
50100,"El Trigo, Toluca"
50100,"San Mateo Oxtotitlán, Toluca"
50100,"La Ribera I, Toluca"
50100,"Parque de San Mateo, Toluca"
50100,"Ex-Hacienda San Jorge, Toluca"
50100,"La Ribera II, Toluca"
50100,"La Ribera III, Toluca"
50100,"Miguel Hidalgo (Corralitos), Toluca"
50103,"De Atotonilco, Toluca"
50103,"De Tlayaca, Toluca"
50103,"De Tlanepantla, Toluca"
50110,"Del Deporte, Toluca"
50110,"Villas de San Buenaventura, Toluca"
50110,"San Buenaventura, Toluca"
50110,"Guadalupe San Buenaventura, Toluca"
50110,"Real del Bosque, Toluca"
50110,"Plazas de San Buenaventura, Toluca"
50110,"Cultural, Toluca"
50110,"Vicente Guerrero, Toluca"
50115,"Loma Bonita, Toluca"
50120,"Ciprés, Toluca"
50120,"Granjas, Toluca"
50120,"Colón, Toluca"
50120,"Federal (Adolfo López Mateos), Toluca"
50120,"Morelos 2a Secc, Toluca"
50120,"Morelos 1a Sección, Toluca"
50122,"Zona Militar, Toluca"
50123,"Paseo Tollocan INFONAVIT, Toluca"
50130,"Cuauhtémoc, Toluca"
50130,"Américas, Toluca"
50130,"Altamirano, Toluca"
50130,"Francisco Murguía El Ranchito, Toluca"
50130,"Universidad, Toluca"
50140,"Valle Don Camilo, Toluca"
50140,"Terminal, Toluca"
50140,"Nueva Santa María, Toluca"
50140,"Santa María de las Rosas, Toluca"
50140,"Nueva Santa María de las Rosas, Toluca"
50140,"Villas Florencia, Toluca"
50140,"Valle Verde, Toluca"
50150,"Izcalli IPIEM, Toluca"
50150,"Progreso, Toluca"
50150,"Salvador Sánchez Colín, Toluca"
50150,"San Sebastián, Toluca"
50150,"Juan Beltrán, Toluca"
50150,"Vértice, Toluca"
50150,"Izcalli Toluca, Toluca"
50150,"Comisión Federal de Electricidad, Toluca"
50160,"Villas de Santa Ana I, Toluca"
50160,"Villas de Santa Ana IV, Toluca"
50160,"Santa Ana Tlapaltitlán, Toluca"
50160,"Villas de Santa Ana II, Toluca"
50160,"Villas de Santa Ana, Toluca"
50160,"Villas de Santa Ana III, Toluca"
50160,"Villas de Santa Ana VI, Toluca"
50160,"Villas de Santa Ana V, Toluca"
50160,"Villas de Santa Ana VII, Toluca"
50168,"Santa María Zozoquilpan, Toluca"
50168,"La Machincuepa, Toluca"
50170,"Héroes del 5 de Mayo, Toluca"
50170,"Isidro Fabela 2a Sección, Toluca"
50170,"El Seminario 4a Sección, Toluca"
50170,"Ocho Cedros 2a Sección, Toluca"
50170,"El Seminario 1a Sección, Toluca"
50170,"El Seminario 2a Sección, Toluca"
50170,"Villa Hogar, Toluca"
50170,"Rancho Dolores, Toluca"
50170,"Isidro Fabela 1a Sección, Toluca"
50170,"El Seminario 3a Sección, Toluca"
50170,"Villas el Limoncito, Toluca"
50170,"Las Haciendas, Toluca"
50170,"Ocho Cedros, Toluca"
50170,"El Seminario 5a Sección, Toluca"
50180,"Bosques de Colón, Toluca"
50180,"Moderna de la Cruz, Toluca"
50180,"Azteca, Toluca"
50180,"Ampliación Lázaro Cárdenas, Toluca"
50180,"Hermanos de la Vega, Toluca"
50180,"Lázaro Cárdenas, Toluca"
50180,"Del Parque, Toluca"
50190,"Emiliano Zapata, Toluca"
50190,"La Magdalena, Toluca"
50190,"Eva Sámano de López Mateos, Toluca"
50190,"Unidad Victoria, Toluca"
50190,"Benito Juárez, Toluca"
50200,"San Andrés Cuexcontitlán, Toluca"
50200,"San Cristóbal Huichochitlán, Toluca"
50200,"San Salvador, Toluca"
50200,"La Trinidad, Toluca"
50200,"Armando Neyra Chavez, Toluca"
50200,"Barrio San Gabriel, Toluca"
50200,"Paseos del Pilar, Toluca"
50205,"San Andrés, Toluca"
50205,"La Concepción, Toluca"
50205,"Santa Rosa, Toluca"
50205,"Jicaltepec Cuexconitlán, Toluca"
50205,"San Diego de los Padres Otzacatipan, Toluca"
50205,"San José Guadalupe, Toluca"
50205,"Natividad, Toluca"
50205,"San Diego de los Padres Cuexcontitlán, Toluca"
50206,"La Loma Cuexcontitlán, Toluca"
50206,"San Diego Linares, Toluca"
50209,"Toluca (Lic. Adolfo López Mateos), Toluca"
50210,"Hacienda San José, Toluca"
50210,"Villa Tulipanes, Toluca"
50210,"Villas de la Hacienda 2a. Sección, Toluca"
50210,"Rancho San José, Toluca"
50210,"Hacienda del Valle I, Toluca"
50210,"Los Sauces III, Toluca"
50210,"Villa Mane, Toluca"
50210,"Los Sauces I, Toluca"
50210,"Bosques de Cantabria, Toluca"
50210,"La Magdalena, Toluca"
50210,"Los Sauces II, Toluca"
50210,"Villas de la Hacienda 1a. Sección, Toluca"
50210,"Hacienda del Valle II, Toluca"
50210,"Santa Cruz Otzacatipán, Toluca"
50210,"Los Sauces IV, Toluca"
50210,"Los Sauces V, Toluca"
50214,"Paseos Santín, Toluca"
50214,"Balcones Santín, Toluca"
50214,"Villas Santín, Toluca"
50220,"De Canaleja, Toluca"
50220,"San Mateo Otzacatipan, Toluca"
50220,"Villas de San Mateo, Toluca"
50223,"Parque industrial Exportec I, Toluca"
50223,"Parque industrial Exportec II, Toluca"
50225,"San Miguel Totoltepec, Toluca"
50225,"Bordo de las Canastas, Toluca"
50225,"Geovillas Centenario, Toluca"
50225,"Nueva San Francisco, Toluca"
50226,"La Arboleda III, Toluca"
50226,"San Pedro Totoltepec, Toluca"
50226,"Villas Santa María (Galaxia), Toluca"
50226,"La Arboleda II, Toluca"
50227,"La Floresta, Toluca"
50227,"Misiones de Santa Esperanza, Toluca"
50227,"Paseos de Toluca, Toluca"
50227,"Geovillas de San Mateo, Toluca"
50227,"Villas de Santa Mónica, Toluca"
50227,"Rinconadas del Pilar, Toluca"
50228,"La Arboleda IV, Toluca"
50228,"La Arboleda, Toluca"
50228,"Las Fuentes Ind., Toluca"
50228,"Geo Villas de la Ind, Toluca"
50228,"Geovillas los Cedros, Toluca"
50228,"Los Sabinos, Toluca"
50228,"Villa de San Andrés, Toluca"
50228,"La Crespa, Toluca"
50228,"Geo Villas de la Ind. II, Toluca"
50228,"Las Fuentes del Ordal, Toluca"
50228,"Las Fuentes, Toluca"
50228,"La Arboleda V, Toluca"
50230,"San Blas Otzacatipan, Toluca"
50230,"San Blas Totoltepec, Toluca"
50230,"San José Guadalupe Otzacatipan, Toluca"
50230,"San Nicolás Tolentino, Toluca"
50233,"Parque industrial Vesta, Toluca"
50233,"Parque industrial Toluca 2000, Toluca"
50235,"San Francisco Totoltepec, Toluca"
50235,"San Francisco, Toluca"
50235,"El Cerrillo Vista Hermosa, Toluca"
50235,"Guadalupe Totoltepec, Toluca"
50236,"La Constitución Totoltepec, Toluca"
50236,"Arroyo Vista Hermosa, Toluca"
50240,"Campo Real I, Toluca"
50240,"El Olimpo, Toluca"
50240,"Prados de Tollocan, Toluca"
50240,"Los Ahuehuetes, Toluca"
50240,"El Carmen Totoltepec, Toluca"
50245,"Campo Real III, Toluca"
50245,"Hacienda La Galia, Toluca"
50245,"Campo Real II, Toluca"
50245,"Residencial la Joya, Toluca"
50245,"Santa María Totoltepec, Toluca"
50245,"San Antonio Abad, Toluca"
50245,"La Alameda, Toluca"
50245,"Campo Real, Toluca"
50245,"Los Héroes I, Toluca"
50245,"María Bonita, Toluca"
50245,"Las Bugambilias, Toluca"
50245,"Jesús García Lovera ""El Pilar"", Toluca"
